fruit,grade,folder,filename,extension,path
Apple,Healthy,Apple__Healthy,FreshApple (1).jpg,jpg,dataset\Apple__Healthy\FreshApple (1).jpg
Apple,Healthy,Apple__Healthy,freshApple (1).png,png,dataset\Apple__Healthy\freshApple (1).png
Apple,Healthy,Apple__Healthy,FreshApple (10).jpg,jpg,dataset\Apple__Healthy\FreshApple (10).jpg
Apple,Healthy,Apple__Healthy,FreshApple (100).jpg,jpg,dataset\Apple__Healthy\FreshApple (100).jpg
Apple,Healthy,Apple__Healthy,FreshApple (101).jpg,jpg,dataset\Apple__Healthy\FreshApple (101).jpg
Apple,Healthy,Apple__Healthy,FreshApple (102).jpg,jpg,dataset\Apple__Healthy\FreshApple (102).jpg
Apple,Healthy,Apple__Healthy,FreshApple (103).jpg,jpg,dataset\Apple__Healthy\FreshApple (103).jpg
Apple,Healthy,Apple__Healthy,FreshApple (104).jpg,jpg,dataset\Apple__Healthy\FreshApple (104).jpg
Apple,Healthy,Apple__Healthy,FreshApple (105).jpg,jpg,dataset\Apple__Healthy\FreshApple (105).jpg
Apple,Healthy,Apple__Healthy,FreshApple (106).jpg,jpg,dataset\Apple__Healthy\FreshApple (106).jpg
Apple,Healthy,Apple__Healthy,FreshApple (107).jpg,jpg,dataset\Apple__Healthy\FreshApple (107).jpg
Apple,Healthy,Apple__Healthy,FreshApple (108).jpg,jpg,dataset\Apple__Healthy\FreshApple (108).jpg
Apple,Healthy,Apple__Healthy,FreshApple (109).jpg,jpg,dataset\Apple__Healthy\FreshApple (109).jpg
Apple,Healthy,Apple__Healthy,FreshApple (11).jpg,jpg,dataset\Apple__Healthy\FreshApple (11).jpg
Apple,Healthy,Apple__Healthy,FreshApple (110).jpg,jpg,dataset\Apple__Healthy\FreshApple (110).jpg
Apple,Healthy,Apple__Healthy,FreshApple (111).jpg,jpg,dataset\Apple__Healthy\FreshApple (111).jpg
Apple,Healthy,Apple__Healthy,FreshApple (112).jpg,jpg,dataset\Apple__Healthy\FreshApple (112).jpg
Apple,Healthy,Apple__Healthy,FreshApple (113).jpg,jpg,dataset\Apple__Healthy\FreshApple (113).jpg
Apple,Healthy,Apple__Healthy,FreshApple (114).jpg,jpg,dataset\Apple__Healthy\FreshApple (114).jpg
Apple,Healthy,Apple__Healthy,FreshApple (115).jpg,jpg,dataset\Apple__Healthy\FreshApple (115).jpg
Apple,Healthy,Apple__Healthy,FreshApple (116).jpg,jpg,dataset\Apple__Healthy\FreshApple (116).jpg
Apple,Healthy,Apple__Healthy,FreshApple (117).jpg,jpg,dataset\Apple__Healthy\FreshApple (117).jpg
Apple,Healthy,Apple__Healthy,FreshApple (118).jpg,jpg,dataset\Apple__Healthy\FreshApple (118).jpg
Apple,Healthy,Apple__Healthy,FreshApple (119).jpg,jpg,dataset\Apple__Healthy\FreshApple (119).jpg
Apple,Healthy,Apple__Healthy,FreshApple (12).jpg,jpg,dataset\Apple__Healthy\FreshApple (12).jpg
Apple,Healthy,Apple__Healthy,FreshApple (120).jpg,jpg,dataset\Apple__Healthy\FreshApple (120).jpg
Apple,Healthy,Apple__Healthy,FreshApple (121).jpg,jpg,dataset\Apple__Healthy\FreshApple (121).jpg
Apple,Healthy,Apple__Healthy,FreshApple (122).jpg,jpg,dataset\Apple__Healthy\FreshApple (122).jpg
Apple,Healthy,Apple__Healthy,FreshApple (123).jpg,jpg,dataset\Apple__Healthy\FreshApple (123).jpg
Apple,Healthy,Apple__Healthy,FreshApple (124).jpg,jpg,dataset\Apple__Healthy\FreshApple (124).jpg
Apple,Healthy,Apple__Healthy,FreshApple (125).jpg,jpg,dataset\Apple__Healthy\FreshApple (125).jpg
Apple,Healthy,Apple__Healthy,FreshApple (126).jpg,jpg,dataset\Apple__Healthy\FreshApple (126).jpg
Apple,Healthy,Apple__Healthy,FreshApple (127).jpg,jpg,dataset\Apple__Healthy\FreshApple (127).jpg
Apple,Healthy,Apple__Healthy,FreshApple (128).jpg,jpg,dataset\Apple__Healthy\FreshApple (128).jpg
Apple,Healthy,Apple__Healthy,FreshApple (129).jpg,jpg,dataset\Apple__Healthy\FreshApple (129).jpg
Apple,Healthy,Apple__Healthy,FreshApple (13).jpg,jpg,dataset\Apple__Healthy\FreshApple (13).jpg
Apple,Healthy,Apple__Healthy,FreshApple (130).jpg,jpg,dataset\Apple__Healthy\FreshApple (130).jpg
Apple,Healthy,Apple__Healthy,FreshApple (131).jpg,jpg,dataset\Apple__Healthy\FreshApple (131).jpg
Apple,Healthy,Apple__Healthy,FreshApple (132).jpg,jpg,dataset\Apple__Healthy\FreshApple (132).jpg
Apple,Healthy,Apple__Healthy,FreshApple (133).jpg,jpg,dataset\Apple__Healthy\FreshApple (133).jpg
Apple,Healthy,Apple__Healthy,FreshApple (134).jpg,jpg,dataset\Apple__Healthy\FreshApple (134).jpg
Apple,Healthy,Apple__Healthy,FreshApple (135).jpg,jpg,dataset\Apple__Healthy\FreshApple (135).jpg
Apple,Healthy,Apple__Healthy,FreshApple (136).jpg,jpg,dataset\Apple__Healthy\FreshApple (136).jpg
Apple,Healthy,Apple__Healthy,FreshApple (137).jpg,jpg,dataset\Apple__Healthy\FreshApple (137).jpg
Apple,Healthy,Apple__Healthy,FreshApple (138).jpg,jpg,dataset\Apple__Healthy\FreshApple (138).jpg
Apple,Healthy,Apple__Healthy,FreshApple (139).jpg,jpg,dataset\Apple__Healthy\FreshApple (139).jpg
Apple,Healthy,Apple__Healthy,FreshApple (14).jpg,jpg,dataset\Apple__Healthy\FreshApple (14).jpg
Apple,Healthy,Apple__Healthy,FreshApple (140).jpg,jpg,dataset\Apple__Healthy\FreshApple (140).jpg
Apple,Healthy,Apple__Healthy,FreshApple (141).jpg,jpg,dataset\Apple__Healthy\FreshApple (141).jpg
Apple,Healthy,Apple__Healthy,FreshApple (142).jpg,jpg,dataset\Apple__Healthy\FreshApple (142).jpg
Apple,Healthy,Apple__Healthy,FreshApple (143).jpg,jpg,dataset\Apple__Healthy\FreshApple (143).jpg
Apple,Healthy,Apple__Healthy,FreshApple (144).jpg,jpg,dataset\Apple__Healthy\FreshApple (144).jpg
Apple,Healthy,Apple__Healthy,FreshApple (145).jpg,jpg,dataset\Apple__Healthy\FreshApple (145).jpg
Apple,Healthy,Apple__Healthy,FreshApple (146).jpg,jpg,dataset\Apple__Healthy\FreshApple (146).jpg
