filename,predicted,true,confidence
freshCarrot (506).jpg,C,B,1.00
freshCarrot (398).jpg,C,B,1.00
Banana__Healthy_augmented_133.jpg,C,B,1.00
Banana__Healthy_augmented_222.jpg,A,C,1.00
FreshPomegranate (70).jpg,B,A,1.00
FreshPomegranate (197).jpg,B,C,1.00
FreshPomegranate (175).jpg,B,C,1.00
freshBanana (137).png,B,C,1.00
freshTomato (296).png,B,A,1.00
rottenTomato (442).jpg,C,B,1.00
freshCucumber (224).jpg,C,B,1.00
freshApple (831).png,B,C,1.00
rotated_by_45_Screen Shot 2018-06-13 at 12.02.33 AM.png,A,C,1.00
FreshPomegranate (112).jpg,B,C,1.00
freshTomato (157).jpg,B,C,1.00
freshApple (560).png,B,A,0.99
freshMango (154).png,C,A,0.99
freshMango (58).png,B,A,0.99
freshTomato (286).png,B,A,0.99
freshTomato (259).png,B,A,0.99
freshMango (164).png,B,A,0.99
FreshPomegranate (122).jpg,B,C,0.99
freshBanana (24).png,B,C,0.99
FreshApple (133).jpg,B,A,0.98
freshBanana (402).jpg,B,A,0.98
FreshPomegranate (19).jpg,C,B,0.98
Banana__Healthy_augmented_290.jpg,C,A,0.98
FreshApple (174).jpg,B,C,0.97
freshPotato (322).jpg,B,C,0.97
freshBanana (32).png,B,C,0.97
rottenPotato (343).jpg,A,C,0.97
freshCucumber (330).jpg,C,B,0.97
freshPotato (60).jpg,C,A,0.95
freshCarrot (382).jpg,C,A,0.95
RottenJujube (93).jpg,B,C,0.95
freshCarrot (420).jpg,C,A,0.95
freshPotato (123).jpg,C,B,0.94
rottenCarrot (569).jpg,A,C,0.94
freshTomato (139).png,B,A,0.94
freshTomato (32).png,B,A,0.93
freshTomato (181).png,C,B,0.93
freshBanana (35).jpg,B,C,0.93
rottenOrange (47).jpg,B,C,0.93
FreshApple (125).jpg,B,A,0.92
freshPotato (41).jpg,C,B,0.91
freshPotato (296).jpg,C,B,0.91
freshPotato (444).jpg,C,B,0.91
rottenStrawberry (177).jpg,B,C,0.89
freshPotato (275).jpg,A,C,0.88
freshMango (8).png,C,A,0.88
rottenPepper (668).jpg,C,A,0.88
freshBanana (378).jpg,B,C,0.86
rottenPepper (487).jpg,B,C,0.86
FreshApple (130).jpg,B,A,0.85
freshTomato (108).png,B,A,0.85
freshBanana (75).png,C,A,0.85
rottenCarrot (423).jpg,A,C,0.82
freshMango (191).png,C,B,0.82
freshApple (534).png,A,B,0.79
freshApple (658).png,A,B,0.79
rottenPotato (385).jpg,A,C,0.78
freshMango (38).png,B,C,0.75
rottenBanana (137).jpg,B,C,0.75
freshPepper (260).jpg,C,A,0.74
freshBanana (87).png,C,B,0.73
freshApple (486).png,B,A,0.71
freshTomato (94).jpg,C,B,0.71
rottenApple (27).jpg,A,C,0.70
freshCucumber (367).jpg,B,C,0.69
RottenPomegranate (158).jpg,A,C,0.68
rottenCucumber (402).jpg,A,C,0.64
freshPotato (69).jpg,A,C,0.62
rottenCucumber (394).jpg,A,C,0.61
Screen Shot 2018-06-08 at 2.34.05 PM.png,A,C,0.59
healthy_043.jpg,A,B,0.59
freshPotato (597).jpg,C,A,0.57
freshStrawberry (117).jpg,C,A,0.57
freshTomato (41).png,B,C,0.53
freshMango (101).png,B,A,0.47
